,SMAPE,MASE,OWA,MAE,RMSE
D1,16.01130925,68.73910106,30.22539597,305.6803885,305.9674478
D2,2.646329956,5.490626192,3.173285725,80.20794155,87.36362343
D3,5.713763257,10.63732635,11.11145752,61.30068534,62.33119606
D4,14.51931135,3.830066953,1.38730352,162.4130772,218.2248
D5,26.5348048,31.28731015,45.86354102,1407.238617,1408.95767
D6,26.93559001,49.2092249,13.04916897,777.8580573,783.188189
D7,71.64040835,13.69340763,2.596195434,3637.648519,4080.269546
D8,15.9565312,33.68597746,44.3585496,257.0942153,257.1995856
D9,8.755407698,18.38061732,24.88685921,133.4366514,133.6006217
D10,11.9255148,15.19852133,12.32542783,297.8164934,298.9130758
D11,7.064039309,8.769374971,7.738654467,167.7306571,168.7526753
D12,4.039784067,6.211894729,6.374821912,146.6476911,149.150487
D13,22.23305155,29.91080958,20.85471556,1507.123849,1519.386359
D14,10.38504149,36.74843212,8.992573786,585.8175432,601.6079737
D15,101.4486132,95.3308424,19.34852477,5416.698465,5436.114051
D16,43.37093921,11.98617097,55.69791498,1678.557694,1678.716519
D17,5.461724988,6.167301562,9.221288873,216.0924282,217.0274581
D18,2.569586256,3.615797425,3.157180769,246.2383231,267.1966905
D19,64.21797042,109.6730739,62.76206461,1283.786079,1284.113097
D20,7.187759289,9.29203156,12.87013227,738.0064314,745.5319464
D21,44.82445338,95.47887631,45.34074195,962.9875959,963.4170309
D22,1.101842291,2.103027417,0.757824699,31.27029646,41.11918009
D23,1.366482601,2.371123448,1.465179214,26.53774065,30.80225919
D24,1.086671042,2.018506572,0.772759475,27.46493583,36.24292043
D25,3.737071858,6.729048817,4.061101256,59.20131034,63.64836816
D26,2.514980986,4.99442948,1.747202045,58.63140625,65.30161432
D27,2.086739953,3.497300547,2.324249775,35.93528355,42.09667467
D28,20.67267987,10.69647594,27.42533362,98.26315098,98.34157153
D29,30.29463702,62.12703138,18.53231366,1775.640011,1779.897054
D30,21.36929933,13.99392174,28.41524008,146.7648847,146.8663716
D31,3.454430261,1.119070359,3.440791742,75.0974156,88.63090058
D32,2.127764475,0.636717282,2.126372423,42.26611677,44.33700074
D33,2.083853039,3.47708833,1.602280303,138.0948774,149.3314113
D34,53.64644019,131.2660025,427.5723659,970.9765799,970.9970139
D35,50.60586915,50.47455045,64.88885025,1075.785941,1076.772464
D36,1.46049526,3.054541506,2.06428848,53.90277972,67.25512707
D37,7.519907565,3.532017828,4.447789712,165.532244,173.0049178
D38,13.82171623,7.657487438,10.33667848,334.6390381,337.2173323
D39,11.91050542,8.090521942,3.00590859,333.3761161,395.3015861
D40,5.032835166,5.464977119,2.50983219,184.742885,206.2959302
D41,42.14057141,36.3253572,55.38102081,3552.665723,3553.435643
D42,32.76633776,20.97002573,51.27621932,2744.614816,2745.089319
D43,1.679955091,2.879244076,1.622204341,18.96206752,23.70421386
D44,3.371581488,8.775729974,4.739414585,296.6371373,322.6621523
D45,6.117439534,9.898860962,4.746910046,64.64444493,65.72967093
D46,1.988829007,2.732047458,1.513110808,195.7682757,223.0789043
D47,5.775241769,8.39614454,6.875851051,59.49117257,61.68599712
D48,68.73013621,187.0246526,67.09733319,5375.122803,5377.901646
D49,84.29602381,193.796582,74.420422,6584.974086,6587.692247
D50,47.89712563,226.7265517,34.0660948,3770.263358,3772.804165
D51,1.136385989,1.888113355,0.893250201,11.3326137,16.54102019
D52,14.88466157,13.92817315,10.99157958,462.453683,465.0893507
D53,4.328139518,8.320970698,3.508435737,45.65712891,47.03451839
D54,10.51324339,21.48306823,15.24578246,281.0910156,281.7336526
D55,0.985494945,0.84881094,2.236494081,10.55778285,11.36820294
D56,51.96504238,187.0888094,39.69275125,4227.736921,4229.030469
D57,5.333678616,10.71858325,4.690240165,89.51492048,94.54044576
D58,2.565474609,4.98746693,2.591855524,43.84624023,52.4931169
D59,11.07084905,20.50404351,8.312617945,524.5839704,535.0110465
D60,53.04058306,97.28101655,80.98660771,1707.677379,1707.782778
D61,19.37434748,12.17122953,20.46488718,775.6787807,776.2244802
D62,3.424090353,3.315965459,2.114098496,185.7195731,230.9086735
D63,10.22042687,19.76562738,10.61368255,469.2064593,472.3145329
D64,6.234605283,3.522070236,1.594853215,67.59746443,89.67648134
D65,35.51132907,24.34910675,22.02687784,1556.405971,1560.451884
D66,6.403002857,3.963770725,3.840287299,87.9957101,90.40758316
