,SMAPE,MASE,OWA,MAE,RMSE
W1,9.594322041648448,56.3887698547136,5.790959050068995,3591.00825721154,3669.97233307147
W2,8.142942513111885,25.08879861335278,3.524885672897872,302.5644959435096,314.36617526681164
W3,9.786151659043318,27.6356535309375,4.220266466653458,921.791856971154,933.1807014554844
W4,24.8272485935749,2.194752541940856,2.2004573917052745,775.5453756009615,898.1852566066078
W5,56.99618040728623,1.993875831230336,4.515916133096122,1407.2320087139424,1439.4033167867265
W6,39.58262685954437,1.5560906430397303,1.9844439707839956,352.85157189002405,390.42820566749833
W7,56.80279424064626,1.4277837734047831,1.5204239246837763,2533.6771709735576,2750.9738090487563
W8,27.588893713169817,1.5431035774394677,0.7400151376862699,1287.9872671274038,1670.6873332866514
W9,14.449526009593589,1.1886454270102595,1.4823284383965891,1270.3540414663462,1524.104223000502
W10,5.584568061492819,5.029173265894263,3.881435304450624,298.249918870192,347.91416203213504
W11,127.95487639175026,9.62046453283418,31.256959886951456,1189.7535685847356,1190.0973862697572
W12,1.1909310953131744,1.0033203021278645,0.5374008790098541,12.748328575721152,15.05205153437459
W13,51.552462010012896,44.18689277587326,13.4113173929567,992.4716724759616,996.7491375828072
W14,49.6200671291783,34.16133399586509,11.750226234124076,962.0390096153848,965.2668857268814
W15,21.3099242210584,8.669978756954485,1.415585250852165,892.8954634915865,1127.2756722378674
W16,20.60590739684268,8.658943817107097,1.372104336129221,867.706385967548,1107.4228326454654
W17,41.375442092862734,116.84018928652108,51.51603064341903,4203.142435396635,4207.734865101744
W18,48.19700529965946,84.29954300479912,25.06826248812376,2608.5182256610574,2614.930418228271
W19,50.10001400733396,1.4307666126407033,1.9361657703487407,2208.5576171875,2318.6869099296605
W20,15.490240403061646,1.1085007777467892,0.9245086741939272,601.2034630408654,775.2990800073454
W21,42.88664068987595,1.7549870355171773,1.8529520816452765,1376.8920147235576,1485.7755872539851
W22,44.690902527293375,1.7523804499317956,2.7381165980622075,2045.0694486177888,2124.662886509725
W23,50.13386078145691,3.3583536014670945,3.4297297377688043,485.8539175180289,495.4772167647015
W24,32.12376826891768,1.386014885829612,0.8330968305572306,2837.1923828125,3785.264992280492
W25,22.179605063467008,1.3652973369578485,1.3828221196822852,481.66939603365387,529.8576586173635
W26,46.57627305448273,1.9393687005165807,2.6341993624484017,2507.0210712139424,2754.116033240412
W27,22.74158139387932,0.9309608718053142,1.0761625311183407,659.8529710036057,766.9180984995204
W28,42.80055412628946,1.5151392792239693,1.020983627387692,2055.8727088341348,2177.2400120384373
W29,23.280235284303657,0.9518175423563816,0.8990927248978692,301.9419696514423,394.3379681125526
W30,21.943423989514585,1.4148289931867877,1.0927490516221456,1075.572265625,1257.4554598907043
W31,30.291388657775062,1.55640099070969,1.1112708256325758,400.59681114783655,463.07343583427416
W32,19.712065096528868,1.267325022748456,1.5808746478991185,1197.021709735577,1598.2200769305605
W33,22.62374415253401,1.6856155315418673,0.9147656569243462,504.71369441105776,543.9534731263759
W34,17.067343726407078,1.3756907304360395,0.5929044222945479,315.2681133563702,397.1757484197873
W35,22.150014883611515,1.0383287132696932,0.646198474059293,356.1169339693509,427.58920745464417
W36,59.49548969986722,6.153582580361408,2.0563166992165387,7160.498640324519,7671.364112572967
W37,13.245332656287925,19.856090268485502,12.421185409366686,355.0253305288461,356.1250101868293
W38,1.877909070188644,1.563915470900955,1.302079161529819,56.52635742187504,63.00701387443729
W39,21.11821417630762,40.64580062792773,29.47590631653071,1100.2210291466347,1100.860328002491
W40,10.902335828204624,22.59412556227692,15.812191256260496,595.1100525841346,596.272993362907
W41,0.899501181890535,0.7401769565017455,0.6705101907904464,54.83780198317296,62.42770931365429
W42,4.820520263543895,4.009200296968685,3.6549311070371937,301.04043269230766,306.9021007298013
W43,0.8317046191357089,0.6857692140730646,0.6217575338729354,50.74708383413452,60.04100786555761
W44,8.720329887679334,18.28912364160084,12.915302164005611,480.63913762019234,482.0679828979468
W45,33.96805163818904,42.901794375427365,13.3414820722238,887.4426915564903,890.9883796109237
W46,10.784596915182322,8.133809299565744,4.916491829172404,318.3519215745192,321.12137765340776
W47,34.3801619543128,43.33417140442224,13.482294009961336,896.0502726862981,899.5522394553557
W48,15.567994156623916,20.24951207632406,13.300137663635624,422.6417976262019,425.1738214965061
W49,16.320452920626163,12.66560432899064,5.459105084440661,494.0703538161059,505.0700023219598
W50,10.58344663103644,9.302613686182562,3.780480788606356,363.20689828725966,378.0047276915191
W51,13.11732787675003,13.966568543784671,9.470653206390445,804.9958759014424,812.809530036645
W52,2.803653068982886,2.3167818384682017,3.2146428021732385,196.5763371394232,218.13127300049965
